matchid,hometeamname,awayteamname,event,minute,phase,injuryminute,teamfromid,teamtoid,playerfromid,playertoid,time,matcheventattribute
2024486,Belgium,Italy,Corner,26,1,0,13,,250008901,,2021-07-02T19:26:13.87,
2024486,Belgium,Italy,GoalAttemptOffTarget,26,1,0,66,,250090398,,2021-07-02T19:26:28.797,
2024486,Belgium,Italy,GoalAttemptSaved,27,1,0,13,,250011668,,2021-07-02T19:26:30.237,
2024486,Belgium,Italy,GoalAttemptBlocked,27,1,0,66,,250090398,,2021-07-02T19:26:48.797,
2024486,Belgium,Italy,GoalAttemptSaved,27,1,0,13,,103333,,2021-07-02T19:26:49.797,
2024486,Belgium,Italy,GoalAttemptOffTarget,27,1,0,66,,250026037,,2021-07-02T19:27:08.197,
2024486,Belgium,Italy,GoalAttemptBlocked,29,1,0,66,,250090398,,2021-07-02T19:28:57.837,
2024486,Belgium,Italy,GoalAttemptSaved,29,1,0,13,,71982,,2021-07-02T19:28:58.837,
2024486,Belgium,Italy,Corner,30,1,0,66,,250026037,,2021-07-02T19:29:50.397,
2024486,Belgium,Italy,Foul,30,1,0,13,66,250012551,250064229,2021-07-02T19:30:23.677,
2024486,Belgium,Italy,FreeKick,31,1,0,66,,250064229,,2021-07-02T19:30:38.517,
2024486,Belgium,Italy,Goal,31,1,0,66,,250066739,,2021-07-02T19:30:51.597,
2024486,Belgium,Italy,Foul,33,1,0,66,13,250005254,250011668,2021-07-02T19:32:54.877,
2024486,Belgium,Italy,FreeKick,33,1,0,13,,250011668,,2021-07-02T19:33:07.253,
2024486,Belgium,Italy,Foul,33,1,0,66,13,59142,250010802,2021-07-02T19:33:16.317,
2024486,Belgium,Italy,FreeKick,34,1,0,13,,103335,,2021-07-02T19:33:33.093,
2024486,Belgium,Italy,Corner,34,1,0,13,,250008901,,2021-07-02T19:34:09.477,
2024486,Belgium,Italy,Foul,35,1,0,13,66,250008901,250067749,2021-07-02T19:35:19.077,
2024486,Belgium,Italy,FreeKick,36,1,0,66,,250017925,,2021-07-02T19:35:36.493,
2024486,Belgium,Italy,Foul,39,1,0,13,66,103335,250006200,2021-07-02T19:39:00.197,
2024486,Belgium,Italy,FreeKick,39,1,0,66,,250017925,,2021-07-02T19:39:28.037,
2024486,Belgium,Italy,Corner,41,1,0,66,,250006200,,2021-07-02T19:40:33.547,
2024486,Belgium,Italy,GoalAttemptOffTarget,41,1,0,66,,250090398,,2021-07-02T19:40:37.773,
2024486,Belgium,Italy,Foul,41,1,0,66,13,250064229,250113142,2021-07-02T19:40:52.557,
2024486,Belgium,Italy,FreeKick,41,1,0,13,,250012551,,2021-07-02T19:40:59.317,
2024486,Belgium,Italy,GoalAttemptBlocked,43,1,0,66,,250005254,,2021-07-02T19:43:01.453,
2024486,Belgium,Italy,GoalAttemptSaved,43,1,0,13,,103333,,2021-07-02T19:43:02.453,
2024486,Belgium,Italy,Goal,44,1,0,66,,250026037,,2021-07-02T19:43:40.957,
2024486,Belgium,Italy,FoulCausingPenalty,45,1,0,66,13,250064229,250113142,2021-07-02T19:45:19.437,
2024486,Belgium,Italy,VarNotification,45,1,1,,,,,2021-07-02T19:46:15.89,"Incident=Penalty,Reason=Foul,Status=SilentCheck"
2024486,Belgium,Italy,VarNotification,45,1,2,,,,,2021-07-02T19:46:40.53,"Incident=Penalty,Reason=Foul,Status=Confirmed"
2024486,Belgium,Italy,GoalOnPenalty,45,1,2,13,,250010802,,2021-07-02T19:47:11.677,
2024486,Belgium,Italy,EndFirstHalf,45,1,3,,,,,2021-07-02T19:47:49.793,
2024486,Belgium,Italy,StartSecondHalf,45,2,0,,,,,2021-07-02T20:04:06.15,
2024486,Belgium,Italy,GoalAttemptOffTarget,47,2,0,66,,250090398,,2021-07-02T20:05:29.91,
2024486,Belgium,Italy,Foul,47,2,0,13,66,250029318,250020885,2021-07-02T20:05:48.03,
2024486,Belgium,Italy,FreeKick,47,2,0,66,,250067749,,2021-07-02T20:06:03.933,
2024486,Belgium,Italy,Corner,48,2,0,66,,250006200,,2021-07-02T20:06:55.2,
2024486,Belgium,Italy,Corner,48,2,0,66,,250006200,,2021-07-02T20:07:04.55,
2024486,Belgium,Italy,Foul,51,2,0,13,66,250008901,250067749,2021-07-02T20:09:22.39,
2024486,Belgium,Italy,FreeKick,52,2,0,66,,250078922,,2021-07-02T20:10:13.973,
2024486,Belgium,Italy,GoalAttemptOffTarget,52,2,0,66,,250005254,,2021-07-02T20:10:33.797,
2024486,Belgium,Italy,Foul,52,2,0,66,13,250066739,250064006,2021-07-02T20:11:02.35,
2024486,Belgium,Italy,FreeKick,53,2,0,13,,103333,,2021-07-02T20:11:08.71,
2024486,Belgium,Italy,Corner,55,2,0,13,,250008901,,2021-07-02T20:14:04.19,
2024486,Belgium,Italy,Corner,57,2,0,66,,250026037,,2021-07-02T20:15:27.127,
2024486,Belgium,Italy,GoalAttemptBlocked,58,2,0,66,,250005254,,2021-07-02T20:17:05.19,
2024486,Belgium,Italy,GoalAttemptSaved,58,2,0,13,,71982,,2021-07-02T20:17:06.19,
2024486,Belgium,Italy,Offside,59,2,0,66,,250026037,,2021-07-02T20:17:14.83,
2024486,Belgium,Italy,FreeKick,59,2,0,13,,250011668,,2021-07-02T20:17:25.67,
2024486,Belgium,Italy,GoalAttemptBlocked,61,2,0,13,,250010802,,2021-07-02T20:19:39.933,
2024486,Belgium,Italy,GoalAttemptSaved,61,2,0,66,,250020885,,2021-07-02T20:19:40.933,
2024486,Belgium,Italy,Corner,62,2,0,13,,250008901,,2021-07-02T20:20:13.56,
2024486,Belgium,Italy,Foul,64,2,0,13,66,250008901,250017925,2021-07-02T20:22:55.47,
2024486,Belgium,Italy,FreeKick,65,2,0,66,,250067749,,2021-07-02T20:23:24.093,
2024486,Belgium,Italy,GoalAttemptOffTarget,66,2,0,66,,250020885,,2021-07-02T20:24:15.693,
2024486,Belgium,Italy,Foul,67,2,0,13,66,71982,250006200,2021-07-02T20:25:21.11,
2024486,Belgium,Italy,FreeKick,68,2,0,66,,250026037,,2021-07-02T20:26:14.213,
2024486,Belgium,Italy,GoalAttemptOnTarget,69,2,0,66,,250026037,,2021-07-02T20:27:31.133,
2024486,Belgium,Italy,GoalAttemptSaved,69,2,0,13,,250011668,,2021-07-02T20:27:32.133,
2024486,Belgium,Italy,Foul,69,2,0,66,13,250064229,250113142,2021-07-02T20:27:40.07,
2024486,Belgium,Italy,Substitution,69,2,0,13,13,250064006,250019924,2021-07-02T20:27:57.32,
2024486,Belgium,Italy,Substitution,69,2,0,13,13,250029318,250022315,2021-07-02T20:28:05.15,
2024486,Belgium,Italy,FreeKick,70,2,0,13,,103704,,2021-07-02T20:28:17.59,
2024486,Belgium,Italy,GoalAttemptBlocked,70,2,0,13,,250022315,,2021-07-02T20:28:56.813,
2024486,Belgium,Italy,GoalAttemptSaved,70,2,0,66,,250064229,,2021-07-02T20:28:57.813,
2024486,Belgium,Italy,Foul,72,2,0,13,66,250113142,250064229,2021-07-02T20:30:21.03,
2024486,Belgium,Italy,Substitution,73,2,0,13,13,250022315,250023003,2021-07-02T20:32:05.15,
2024486,Belgium,Italy,Substitution,74,2,0,66,66,250006200,250041741,2021-07-02T20:32:43.657,
2024486,Belgium,Italy,Substitution,74,2,0,66,66,250005254,250050378,2021-07-02T20:33:05.523,
2024486,Belgium,Italy,FreeKick,75,2,0,66,,250017925,,2021-07-02T20:33:19.39,
2024486,Belgium,Italy,GoalAttemptBlocked,75,2,0,13,,250010802,,2021-07-02T20:34:06.99,
2024486,Belgium,Italy,GoalAttemptSaved,76,2,0,66,,250067749,,2021-07-02T20:34:07.99,
2024486,Belgium,Italy,Substitution,79,2,0,66,66,250026037,250058759,2021-07-02T20:37:34.323,
2024486,Belgium,Italy,Substitution,79,2,0,66,66,250020885,250100056,2021-07-02T20:38:06.04,
2024486,Belgium,Italy,Foul,82,2,0,13,66,250019924,250100056,2021-07-02T20:40:25.27,
2024486,Belgium,Italy,FreeKick,82,2,0,66,,250078922,,2021-07-02T20:40:54.933,
2024486,Belgium,Italy,GoalAttemptOffTarget,84,2,0,13,,250113142,,2021-07-02T20:42:21.453,
2024486,Belgium,Italy,Foul,84,2,0,13,66,250012551,250100056,2021-07-02T20:43:04.99,
2024486,Belgium,Italy,FreeKick,85,2,0,66,,250041741,,2021-07-02T20:43:17.43,
2024486,Belgium,Italy,Foul,85,2,0,66,13,250041741,103335,2021-07-02T20:43:23.71,
2024486,Belgium,Italy,FreeKick,85,2,0,13,,71982,,2021-07-02T20:43:35.23,
2024486,Belgium,Italy,Foul,86,2,0,13,66,250023003,250058759,2021-07-02T20:45:00.79,
2024486,Belgium,Italy,FreeKick,87,2,0,66,,250078922,,2021-07-02T20:45:33.773,
2024486,Belgium,Italy,Foul,87,2,0,66,13,250090398,250012551,2021-07-02T20:45:52.55,
2024486,Belgium,Italy,FreeKick,87,2,0,13,,250012551,,2021-07-02T20:46:00.47,
