matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank
2024442,Austria,North Macedonia,8,Austria,true,false,149,Saves on indirect free kick,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,150,Saves on penalty,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,151,Saves on corner,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,152,Saves in open play from centre,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,153,Saves in open play from left,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,154,Saves in open play from right,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,155,Punches,0,2
2024442,Austria,North Macedonia,8,Austria,true,false,156,High Claims,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,157,Low Claims,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,158,Goalkeeper kicks attempted,5,2
2024442,Austria,North Macedonia,8,Austria,true,false,159,Goalkeeper kicks short,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,160,Goalkeeper kicks medium,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,161,Goalkeeper kicks long,4,2
2024442,Austria,North Macedonia,8,Austria,true,false,162,Goalkeeper kicks completed,3,2
2024442,Austria,North Macedonia,8,Austria,true,false,163,Goalkeeper kicks completed short,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,164,Goalkeeper kicks completed medium,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,165,Goalkeeper kicks completed long,2,2
2024442,Austria,North Macedonia,8,Austria,true,false,166,Goalkeeper kicks completed %,60,1
2024442,Austria,North Macedonia,8,Austria,true,false,167,Played Time,01:36:17.6980000,1
2024442,Austria,North Macedonia,8,Austria,true,false,168,Fouls suffered,16,1
2024442,Austria,North Macedonia,8,Austria,true,false,171,Fouls committed own half,4,1
2024442,Austria,North Macedonia,8,Austria,true,false,172,Fouls committed opposite half,9,2
2024442,Austria,North Macedonia,8,Austria,true,false,173,Fouls suffered own half,13,1
2024442,Austria,North Macedonia,8,Austria,true,false,174,Fouls suffered opposite half,3,2
2024442,Austria,North Macedonia,8,Austria,true,false,175,Penalty fouls,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,176,Handball,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,177,Simulation,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,181,Offsides suffered,0,2
2024442,Austria,North Macedonia,8,Austria,true,false,182,Distance covered in low activity (m),61860,1
2024442,Austria,North Macedonia,8,Austria,true,false,183,Distance covered in medium activity (m),19817,1
2024442,Austria,North Macedonia,8,Austria,true,false,184,Distance covered in high activity (m),20458,1
2024442,Austria,North Macedonia,8,Austria,true,false,185,Distance covered in very high activity (m),8038,1
2024442,Austria,North Macedonia,8,Austria,true,false,186,Distance covered in low activity (%),56,2
2024442,Austria,North Macedonia,8,Austria,true,false,187,Distance covered in medium activity (%),18,1
2024442,Austria,North Macedonia,8,Austria,true,false,188,Distance covered in high activity (%),19,1
2024442,Austria,North Macedonia,8,Austria,true,false,189,Distance covered in very high activity (%),7,1
2024442,Austria,North Macedonia,8,Austria,true,false,190,Average distance covered,10465,1
2024442,Austria,North Macedonia,8,Austria,true,false,191,Average distance covered in low activity,5695,2
2024442,Austria,North Macedonia,8,Austria,true,false,192,Average distance covered in medium activity,1946,1
2024442,Austria,North Macedonia,8,Austria,true,false,193,Average distance covered in high activity,2022,1
2024442,Austria,North Macedonia,8,Austria,true,false,194,Average distance covered in very high activity covered,802,1
2024442,Austria,North Macedonia,8,Austria,true,false,195,Time spent in low activity (%),82,2
2024442,Austria,North Macedonia,8,Austria,true,false,196,Time spent in medium activity (%),9,1
2024442,Austria,North Macedonia,8,Austria,true,false,197,Time spent in high activity (%),7,1
2024442,Austria,North Macedonia,8,Austria,true,false,198,Time spent in very high activity (%),2,1
2024442,Austria,North Macedonia,8,Austria,true,false,202,Time spent in low activity,14:12:11.6400000,2
2024442,Austria,North Macedonia,8,Austria,true,false,203,Time spent in medium activity,01:35:34.9600000,1
2024442,Austria,North Macedonia,8,Austria,true,false,204,Time spent in high activity,01:15:02.0400000,1
2024442,Austria,North Macedonia,8,Austria,true,false,205,Time spent in very high activity,00:20:44.0400000,1
2024442,Austria,North Macedonia,8,Austria,true,false,206,Sprints,358,1
2024442,Austria,North Macedonia,8,Austria,true,false,219,Assists,3,1
2024442,Austria,North Macedonia,8,Austria,true,false,220,Distance covered (Km),110.17,1
2024442,Austria,North Macedonia,8,Austria,true,false,221,Distance covered in possession (Km),46.94,1
2024442,Austria,North Macedonia,8,Austria,true,false,638,Matches played,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,639,Goals on set pieces,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,644,Attempts blocked outside penalty area,2,1
2024442,Austria,North Macedonia,8,Austria,true,false,646,Distance covered not in possession (m),33790,2
2024442,Austria,North Macedonia,8,Austria,true,false,647,Distance covered not in possession (Km),33.79,2
2024442,Austria,North Macedonia,8,Austria,true,false,648,Attempts set pieces,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,649,Attempts in open play,11,1
2024442,Austria,North Macedonia,8,Austria,true,false,650,Attempts on throw in,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,651,Saves on attempts inside penalty area,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,652,Saves on attempts outside penalty area,0,2
2024442,Austria,North Macedonia,8,Austria,true,false,682,Team average speed,6.7,1
2024442,Austria,North Macedonia,8,Austria,true,false,683,Big Chances,1,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,1,Goals,1,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,2,Ball Possession,40,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,3,Total Attempts,7,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,4,Attempts on target,2,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,5,Attempts off target,3,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,6,Attempts against woodwork,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,11,Attempts Accuracy,29,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,12,Corners,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,13,Offsides,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,14,Saves,4,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,17,Tackles won,4,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,18,Clearances,15,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,19,Recovered balls,37,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,20,Fouls committed,16,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,21,Yellow cards,2,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,22,Red cards,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,23,Passes completed,254,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,24,Passes accuracy,72,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,27,Distance covered (m),106114,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,28,Distance covered in possession (m),30300,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,29,Top Speed (Km/h),30.8,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,32,Own-goals,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,33,Goals scored,1,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,34,Goals conceded,3,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,35,Own-goals for,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,36,Goals scored by right foot,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,37,Goals scored by left foot,1,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,38,Goals scored by head,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,39,Goals scored by backheel,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,40,Goals scored by other part of body,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,41,Goals scored in open play,1,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,42,Goals scored on direct free-kcik,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,43,Goals scored on indirect free-kcik,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,44,Goals scored on penalty,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,45,Goals on corner,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,46,Goals scored in penalty area,1,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,47,Goals scored outside penalty area,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,48,Goals on penalty phase,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,49,Goals in open play from centre,1,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,50,Goals in open play from left,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,51,Goals in open play from right,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,52,Attempts blocked,2,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,53,Attempts on bar,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,54,Attempts on post,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,55,Woodwork (after deflection),0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,56,Attempts on direct free kick,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,57,Attempts on indirect free kick,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,58,Attempts from corner,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,59,Attempts on target in penalty area,2,2
