shirtNumber,jerseyNumber,position,substitute,name,slug,position,jerseyNumber,country.name,totalPass,accuratePass,totalLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,accurateLongBalls,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,blockedScoringAttempt,totalClearance,totalTackle,expectedGoals,keyPass,expectedAssists,aerialLost,aerialWon,onTargetScoringAttempt,ownGoals,fouls,wasFouled,totalOffside,shotOffTarget,interceptionWon,dispossessed,wonContest,goals,captain,penaltyWon
23,23,M,True,kenny-mclean,M,23,Scotland,7.0,5.0,,0.0,23.0,11.0,6.3,3.0,,,,2.0,2.0,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,
14,14,M,True,gilmour-billy,M,11,Scotland,8.0,7.0,,0.0,23.0,9.0,6.2,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
26,26,D,True,scott-mckenna,D,,Scotland,5.0,4.0,1.0,0.0,13.0,8.0,6.8,1.0,,,,,1.0,,,,1.0,1.0,0.0187,,,,,,,,,,1.0,,,,,,
9,9,F,True,lawrence-shankland,F,9,Scotland,1.0,1.0,,0.0,8.0,4.0,6.5,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
21,21,G,True,zander-clark,G,28,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,G,True,liam-kelly,G,1,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,D,True,liam-cooper,D,6,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,D,True,greg-taylor,D,3,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,D,True,ross-mccrorie,D,2,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,M,True,stuart-armstrong,M,,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,M,True,james-forrest,M,49,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,M,True,ryan-jack,M,,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,M,True,lewis-morgan,F,9,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,F,True,tommy-conway,F,15,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,G,False,peter-gulacsi,G,1,Hungary,28.0,24.0,9.0,0.0,90.0,39.0,6.9,4.0,5.0,,,1.0,1.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,
2,2,D,False,adam-lang,D,22,Hungary,13.0,10.0,2.0,0.0,45.0,25.0,6.3,7.0,2.0,,,1.0,,,,,3.0,,,,,1.0,,,,,,,,1.0,,,,,
6,6,D,False,willi-orban,D,4,Hungary,57.0,52.0,6.0,0.0,90.0,69.0,6.6,8.0,5.0,,,3.0,6.0,,1.0,,2.0,2.0,0.2075,2.0,0.105125,2.0,4.0,1.0,,,,,,1.0,,,,,
4,4,D,False,attila-szalai,D,6,Hungary,47.0,41.0,10.0,0.0,79.0,63.0,6.8,9.0,7.0,1.0,,4.0,6.0,2.0,,,2.0,2.0,0.0905,,0.010569,1.0,3.0,,,1.0,1.0,,1.0,2.0,,,,,
5,5,M,False,attila-fiola,D,5,Hungary,40.0,31.0,5.0,0.0,90.0,51.0,6.5,12.0,2.0,1.0,,4.0,2.0,,,,3.0,2.0,,1.0,0.0109268,2.0,,,,1.0,,,,,1.0,,,,
8,8,M,False,adam-nagy,M,8,Hungary,45.0,38.0,6.0,0.0,67.0,53.0,6.8,8.0,5.0,,,1.0,3.0,,,,1.0,3.0,,,0.0124184,1.0,,,,,,,,1.0,,,,,
13,13,M,False,andras-schafer,M,13,Hungary,49.0,47.0,2.0,0.0,90.0,62.0,6.3,5.0,1.0,1.0,1.0,9.0,5.0,1.0,2.0,,2.0,2.0,,,0.0177043,2.0,1.0,,,3.0,1.0,,,,2.0,1.0,,,
11,11,M,False,milos-kerkez,D,3,Hungary,22.0,13.0,3.0,0.0,79.0,39.0,6.3,16.0,,6.0,,3.0,4.0,1.0,,,3.0,1.0,,,,,,,,1.0,3.0,,,,1.0,,,,
20,20,F,False,roland-sallai,F,22,Hungary,30.0,26.0,,0.0,90.0,47.0,7.2,12.0,,4.0,1.0,5.0,6.0,,2.0,1.0,,1.0,0.0937,1.0,0.13432,2.0,,,,,3.0,1.0,1.0,,3.0,2.0,,,
10,10,F,False,dominik-szoboszlai,M,8,Hungary,40.0,34.0,7.0,1.0,90.0,63.0,8.0,12.0,6.0,4.0,3.0,1.0,4.0,,1.0,,3.0,1.0,,2.0,0.592405,1.0,,,,,2.0,,,,,1.0,,True,
19,19,F,False,barnabas-varga,F,19,Hungary,20.0,10.0,2.0,0.0,90.0,34.0,7.1,15.0,1.0,,,4.0,8.0,,,,1.0,2.0,0.8607,,0.0294629,3.0,5.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,,
14,14,D,True,bendeguz-bolla,M,77,Hungary,16.0,13.0,1.0,0.0,45.0,25.0,6.2,7.0,,2.0,,2.0,,,1.0,,,,,,0.0134521,,,,,1.0,,,,,,,,,
15,15,M,True,laszlo-kleinheisler,M,30,Hungary,14.0,13.0,,0.0,23.0,17.0,6.4,3.0,,,,1.0,1.0,,1.0,,,,,,0.00650639,,1.0,,,,,,,,,,,,
24,24,D,True,marton-dardai,D,31,Hungary,12.0,10.0,3.0,0.0,11.0,16.0,6.5,2.0,3.0,,,1.0,1.0,,,,1.0,,,,0.0308889,,,,,1.0,1.0,,,,,,,,
9,9,F,True,martin-adam,F,9,Hungary,5.0,3.0,,0.0,11.0,9.0,6.4,4.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,
12,12,G,True,denes-dibusz,G,90,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,G,True,peter-szappanos,G,1,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,D,True,botond-balogh,D,4,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,D,True,endre-botka,D,21,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,D,True,loic-nego,M,7,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,M,True,styles-callum,M,20,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,D,True,zsolt-nagy,M,25,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,M,True,daniel-gazdag,M,10,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,M,True,mihaly-kata,M,6,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,M,True,krisztofer-horvath,F,11,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,F,True,csoboth-kevin,F,77,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,G,False,yann-sommer,G,1,Switzerland,24.0,18.0,7.0,0.0,90.0,33.0,6.6,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,D,False,fabian-schar,D,5,Switzerland,45.0,32.0,11.0,0.0,90.0,58.0,6.6,15.0,4.0,,,4.0,2.0,1.0,1.0,2.0,4.0,,0.1826,,0.006886,2.0,2.0,,,,,,1.0,2.0,,,,,
5,5,D,False,manuel-akanji,D,25,Switzerland,64.0,58.0,6.0,0.0,90.0,70.0,6.7,6.0,4.0,,,4.0,2.0,1.0,,,3.0,,,,0.0166086,3.0,2.0,,,,,,,1.0,,,,,
13,13,D,False,ricardo-rodriguez,D,,Switzerland,50.0,44.0,8.0,0.0,90.0,63.0,6.8,9.0,3.0,1.0,,5.0,4.0,,1.0,,3.0,3.0,,1.0,0.0312144,1.0,1.0,,,2.0,1.0,,,,1.0,,,,
3,3,M,False,silvan-widmer,M,30,Switzerland,20.0,17.0,3.0,0.0,68.0,41.0,6.2,8.0,,1.0,,6.0,1.0,,1.0,,1.0,,,,0.124189,1.0,1.0,,,2.0,,,,1.0,2.0,,,,
8,8,M,False,remo-freuler,M,8,Switzerland,41.0,38.0,,1.0,86.0,49.0,6.7,6.0,,,,5.0,2.0,1.0,,,1.0,,,1.0,0.024303,,2.0,,,4.0,,,,1.0,1.0,,,,
10,10,M,False,granit-xhaka,M,34,Switzerland,88.0,79.0,5.0,0.0,90.0,99.0,8.1,11.0,4.0,,,1.0,6.0,,,,1.0,3.0,0.0641,4.0,0.186762,,2.0,1.0,,1.0,1.0,,,,,,,True,
20,20,M,False,michel-aebischer,M,20,Switzerland,46.0,40.0,1.0,1.0,90.0,63.0,8.5,9.0,1.0,,,3.0,3.0,,,,1.0,1.0,0.0568,2.0,0.373321,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,
19,19,F,False,dan-ndoye,M,11,Switzerland,18.0,12.0,,0.0,86.0,41.0,7.3,12.0,,1.0,,6.0,9.0,,5.0,1.0,1.0,2.0,0.1141,1.0,0.107319,1.0,,,,2.0,4.0,1.0,2.0,1.0,1.0,3.0,,,
17,17,F,False,ruben-vargas,M,16,Switzerland,24.0,23.0,1.0,0.0,74.0,40.0,6.8,8.0,1.0,4.0,1.0,2.0,2.0,,1.0,,,,0.5876,1.0,0.2513,1.0,1.0,2.0,,,1.0,,,,,,,,
18,18,F,False,kwadwo-duah,F,9,Switzerland,11.0,4.0,,0.0,68.0,18.0,7.4,10.0,,1.0,,2.0,4.0,,,1.0,,1.0,0.7014,,0.0105046,2.0,3.0,2.0,,,,,,,,,1.0,,
2,2,D,True,leonidas-stergiou,D,20,Switzerland,4.0,1.0,,0.0,22.0,12.0,6.5,4.0,,,,5.0,3.0,1.0,,,2.0,3.0,,,,2.0,,,,2.0,,,,,,,,,
25,25,F,True,zeki-amdouni,F,25,Switzerland,5.0,4.0,1.0,0.0,22.0,12.0,6.4,6.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,
7,7,F,True,breel-embolo,F,36,Switzerland,7.0,7.0,1.0,0.0,16.0,14.0,7.3,3.0,1.0,,,3.0,1.0,,2.0,,,,0.606,,0.0359095,1.0,,1.0,,,,,,,1.0,1.0,1.0,,
16,16,M,True,vincent-sierro,M,8,Switzerland,3.0,2.0,,0.0,12.0,4.0,6.5,1.0,,,,,,,,1.0,,,0.0126,,,,,,,,,,,,,,,,
26,26,M,True,fabian-rieder,M,32,Switzerland,2.0,1.0,1.0,0.0,12.0,5.0,6.9,2.0,1.0,2.0,1.0,,1.0,,1.0,,,,,1.0,0.0461085,,,,,,,,,,,1.0,,,
12,12,G,True,yvon-mvogo,G,38,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,G,True,gregor-kobel,G,1,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,D,True,cedric-zesiger,D,5,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,D,True,nico-elvedi,D,30,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,M,True,ardon-jashari,M,6,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,M,True,xherdan-shaqiri,M,10,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,F,True,noah-okafor,F,17,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,M,True,renato-steffen,F,11,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,G,False,unai-simon,G,1,Spain,36.0,23.0,18.0,0.0,90.0,52.0,8.6,14.0,6.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
2,2,D,False,daniel-carvajal,D,2,Spain,49.0,45.0,1.0,0.0,90.0,67.0,7.8,5.0,,1.0,,3.0,4.0,1.0,,,2.0,2.0,0.5033,,,2.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,
3,3,D,False,robin-le-normand,D,24,Spain,53.0,42.0,3.0,0.0,90.0,58.0,6.9,11.0,,,,6.0,6.0,2.0,,,2.0,,0.1466,,0.00517416,2.0,6.0,,,2.0,1.0,,1.0,1.0,,,,,
4,4,D,False,nacho-fernandez,D,6,Spain,56.0,53.0,4.0,0.0,90.0,64.0,7.4,3.0,3.0,,,1.0,5.0,,1.0,,4.0,1.0,,1.0,0.0139362,1.0,2.0,,,,1.0,,,,,1.0,,,
24,24,D,False,marc-cucurella,D,3,Spain,45.0,33.0,5.0,0.0,90.0,62.0,7.4,16.0,3.0,1.0,,2.0,7.0,1.0,,,,2.0,,,0.00662309,,4.0,,,1.0,1.0,,,1.0,,,,,
20,20,M,False,pedri,M,8,Spain,17.0,17.0,1.0,1.0,59.0,25.0,7.4,2.0,1.0,,,3.0,4.0,1.0,1.0,,,1.0,,3.0,0.172438,,,,,,2.0,,,1.0,2.0,1.0,,,
16,16,M,False,rodri,M,16,Spain,65.0,57.0,3.0,0.0,86.0,70.0,6.6,9.0,2.0,,,3.0,5.0,,,,,,,,0.00794368,1.0,3.0,,,2.0,2.0,,,,,,,,
8,8,M,False,fabian-ruiz,M,8,Spain,54.0,49.0,5.0,1.0,90.0,64.0,8.9,9.0,4.0,,,1.0,4.0,,3.0,,,1.0,0.1359,1.0,0.266613,,,1.0,,,1.0,,,,,2.0,1.0,,
19,19,F,False,lamine-yamal,F,27,Spain,18.0,15.0,,1.0,86.0,34.0,7.5,7.0,,3.0,2.0,6.0,5.0,3.0,4.0,1.0,,2.0,0.4673,3.0,0.394379,,,1.0,,1.0,,1.0,1.0,,1.0,3.0,,,
7,7,F,False,alvaro-morata,F,19,Spain,12.0,6.0,,0.0,67.0,23.0,7.3,8.0,,,,5.0,6.0,2.0,,,1.0,3.0,0.6889,,0.0161105,,2.0,2.0,,2.0,1.0,,1.0,,1.0,,1.0,True,
17,17,F,False,nico-williams,M,11,Spain,15.0,11.0,1.0,0.0,68.0,26.0,6.6,9.0,,2.0,2.0,5.0,2.0,,4.0,,,,,1.0,0.205979,,,,,1.0,,1.0,,,2.0,2.0,,,
10,10,F,True,dani-olmo,M,7,Spain,14.0,11.0,1.0,0.0,31.0,25.0,6.7,7.0,,,,3.0,4.0,,5.0,1.0,,1.0,0.0246,,0.00980748,,,,,,,,,,1.0,3.0,,,
21,21,F,True,mikel-oyarzabal,F,10,Spain,5.0,5.0,,0.0,23.0,7.0,6.6,1.0,,,,3.0,1.0,,,,,,,1.0,,,,,,2.0,1.0,,,,1.0,,,,
6,6,M,True,mikel-merino,M,8,Spain,7.0,5.0,1.0,0.0,22.0,11.0,6.5,4.0,1.0,1.0,,4.0,1.0,,,,,,,,,2.0,1.0,,,2.0,,,,1.0,,,,,
18,18,M,True,martin-zubimendi,M,4,Spain,9.0,9.0,,0.0,10.0,11.0,6.7,,,,,1.0,1.0,,,,,1.0,,,0.00731324,1.0,,,,,,,,,,,,,
11,11,F,True,ferran-torres,F,7,Spain,2.0,2.0,,0.0,10.0,4.0,6.5,1.0,,1.0,,,,,,1.0,,,0.0453,,,,,,,1.0,,,,,,,,,
13,13,G,True,alex-remiro,G,1,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,G,True,david-raya,G,22,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,D,True,aymeric-laporte,D,27,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,D,True,jesus-navas,D,16,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
