Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,CityVenue,CountryVenue,VenueNeutrality,HomeTeamLabel,AwayTeamLabel
2021-06-22,England,Czech Republic,1.0,0.0,2,49,4,0,8,5
2021-06-22,Scotland,Croatia,1.0,3.0,0,33,14,0,25,4
2021-06-21,Finland,Belgium,0.0,2.0,0,69,13,1,9,2
2021-06-21,Netherlands,North Macedonia,3.0,0.0,2,0,9,0,17,19
2021-06-21,Ukraine,Austria,0.0,1.0,0,15,12,1,33,1
2021-06-21,Denmark,Russia,4.0,1.0,2,21,3,0,7,26
2021-06-20,Switzerland,Turkey,3.0,1.0,2,4,1,1,31,34
2021-06-20,Italy,Wales,1.0,0.0,2,67,8,0,15,36
2021-06-19,Spain,Poland,1.0,1.0,1,73,15,0,29,22
2021-06-19,Hungary,France,1.0,1.0,1,16,7,0,13,10
2021-06-19,Germany,Portugal,4.0,2.0,2,57,6,0,11,23
2021-06-18,Sweden,Slovakia,1.0,0.0,2,69,13,1,30,29
2021-06-18,England,Scotland,0.0,0.0,1,49,4,0,8,27
2021-06-18,Croatia,Czech Republic,1.0,1.0,1,33,14,1,4,5
2021-06-17,Denmark,Belgium,1.0,2.0,0,21,3,0,7,2
2021-06-17,Netherlands,Austria,2.0,0.0,2,0,9,0,17,1
2021-06-17,Ukraine,North Macedonia,2.0,1.0,2,15,12,1,33,19
2021-06-16,Russia,Finland,1.0,0.0,2,69,13,0,24,9
2021-06-16,Turkey,Wales,0.0,2.0,0,4,1,1,32,36
2021-06-16,Italy,Switzerland,3.0,0.0,2,67,8,0,15,33
2021-06-15,Germany,France,0.0,1.0,0,57,6,0,11,10
2021-06-15,Hungary,Portugal,0.0,3.0,0,16,7,0,13,23
2021-06-14,Spain,Sweden,0.0,0.0,1,73,15,0,29,32
2021-06-14,Poland,Slovakia,1.0,2.0,0,69,13,1,20,29
2021-06-14,Scotland,Czech Republic,0.0,2.0,0,33,14,0,25,5
2021-06-13,England,Croatia,1.0,0.0,2,49,4,0,8,4
2021-06-13,Netherlands,Ukraine,3.0,2.0,2,0,9,0,17,35
2021-06-13,Austria,North Macedonia,3.0,1.0,2,15,12,1,1,19
2021-06-12,Wales,Switzerland,1.0,1.0,1,17,19,0,34,33
2021-06-12,Denmark,Finland,0.0,1.0,0,21,3,0,7,9
2021-06-12,Russia,Belgium,0.0,3.0,0,69,13,0,24,2
2021-06-11,Italy,Turkey,3.0,0.0,2,67,8,0,15,34
2016-07-10,France,Portugal,0.0,1.0,0,70,5,0,10,23
2016-07-07,France,Germany,2.0,0.0,2,55,5,0,10,12
2016-07-06,Portugal,Wales,2.0,0.0,2,51,5,1,21,36
2016-07-03,France,Iceland,5.0,2.0,2,70,5,0,10,15
2016-07-02,Germany,Italy,1.0,1.0,1,11,5,1,11,16
2016-07-01,Wales,Belgium,3.0,1.0,2,81,5,1,34,2
2016-06-30,Poland,Portugal,1.0,1.0,1,55,5,1,20,23
2016-06-27,Italy,Spain,2.0,0.0,2,70,5,1,15,31
2016-06-27,England,Iceland,1.0,2.0,0,61,5,1,8,15
2016-06-26,Hungary,Belgium,0.0,4.0,0,78,5,1,13,2
2016-06-26,Germany,Slovakia,3.0,0.0,2,81,5,1,11,29
2016-06-26,France,Republic of Ireland,2.0,1.0,2,51,5,0,10,24
2016-06-25,Wales,Northern Ireland,1.0,0.0,2,64,5,1,34,20
2016-06-25,Croatia,Portugal,0.0,1.0,0,45,5,1,4,23
2016-06-25,Switzerland,Poland,1.0,1.0,1,71,5,1,31,22
2016-06-22,Italy,Republic of Ireland,0.0,1.0,0,81,5,1,15,24
2016-06-22,Hungary,Portugal,3.0,3.0,1,51,5,1,13,23
2016-06-22,Iceland,Austria,2.0,1.0,2,70,5,1,14,1
2016-06-22,Sweden,Belgium,0.0,1.0,0,61,5,1,30,2
2016-06-21,Czech Republic,Turkey,0.0,2.0,0,45,5,1,5,34
2016-06-21,Croatia,Spain,2.0,1.0,2,11,5,1,4,31
2016-06-21,Northern Ireland,Germany,0.0,1.0,0,64,5,1,18,12
2016-06-21,Ukraine,Poland,0.0,1.0,0,55,5,1,33,22
2016-06-20,Slovakia,England,0.0,0.0,1,71,5,1,27,8
