,minute,phase,injuryminute,teamfromid,teamtoid,playerfromid,playertoid
327,73,2,0,110.0,11741.525265127886,63706.0,206024112.0
328,74,2,0,13.0,11741.525265127886,250019924.0,206024112.0
329,75,2,0,13.0,110.0,1902160.0,250078886.0
330,75,2,0,110.0,11741.525265127886,250067295.0,206024112.0
331,76,2,0,110.0,11741.525265127886,63706.0,206024112.0
332,76,2,0,13.0,11741.525265127886,250011668.0,206024112.0
333,77,2,0,110.0,11741.525265127886,95417.0,206024112.0
334,78,2,0,110.0,110.0,250067295.0,250014528.0
335,78,2,0,110.0,110.0,250058218.0,250003853.0
336,79,2,0,13.0,110.0,250010802.0,250078886.0
337,79,2,0,110.0,11741.525265127886,95417.0,206024112.0
338,80,2,0,13.0,110.0,250019924.0,250003853.0
339,80,2,0,110.0,11741.525265127886,250014528.0,206024112.0
340,80,2,0,110.0,11741.525265127886,250042521.0,206024112.0
341,81,2,0,13.0,110.0,103333.0,250101463.0
342,81,2,0,13.0,11741.525265127886,103333.0,206024112.0
343,81,2,0,110.0,11741.525265127886,250058220.0,206024112.0
344,82,2,0,110.0,11741.525265127886,250078886.0,206024112.0
345,82,2,0,110.0,11741.525265127886,250058220.0,206024112.0
346,82,2,0,13.0,11741.525265127886,250011668.0,206024112.0
347,82,2,0,110.0,11741.525265127886,250101463.0,206024112.0
348,83,2,0,110.0,11741.525265127886,250066156.0,206024112.0
349,83,2,0,110.0,13.0,250003853.0,250010802.0
350,84,2,0,13.0,11741.525265127886,250010802.0,206024112.0
351,85,2,0,110.0,11741.525265127886,63706.0,206024112.0
352,85,2,0,13.0,11741.525265127886,71982.0,206024112.0
353,85,2,0,110.0,11741.525265127886,250078886.0,206024112.0
354,86,2,0,110.0,11741.525265127886,63706.0,206024112.0
355,87,2,0,13.0,13.0,1902160.0,250040959.0
356,88,2,0,110.0,11741.525265127886,250042521.0,206024112.0
357,88,2,0,13.0,11741.525265127886,250011668.0,206024112.0
358,89,2,0,13.0,11741.525265127886,250064006.0,206024112.0
359,90,2,2,110.0,11741.525265127886,250078886.0,206024112.0
360,90,2,5,110.0,11741.525265127886,250101463.0,206024112.0
361,90,2,5,13.0,13.0,250012551.0,250042602.0
362,90,2,6,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
363,0,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
364,7,1,0,57451.0,11741.525265127886,250058227.0,206024112.0
365,10,1,0,57451.0,13.0,250058227.0,250064006.0
366,10,1,0,13.0,11741.525265127886,103704.0,206024112.0
367,10,1,0,13.0,11741.525265127886,250010802.0,206024112.0
368,14,1,0,57451.0,11741.525265127886,250058227.0,206024112.0
369,14,1,0,57451.0,11741.525265127886,250052963.0,206024112.0
370,14,1,0,13.0,11741.525265127886,250011668.0,206024112.0
371,16,1,0,57451.0,11741.525265127886,250021669.0,206024112.0
372,18,1,0,13.0,11741.525265127886,250042602.0,206024112.0
373,22,1,0,13.0,11741.525265127886,250012551.0,206024112.0
374,22,1,0,57451.0,11741.525265127886,1906051.0,206024112.0
375,22,1,0,13.0,57451.0,250058949.0,250111090.0
376,23,1,0,57451.0,11741.525265127886,250058228.0,206024112.0
377,24,1,0,13.0,11741.525265127886,250040959.0,206024112.0
378,25,1,0,57451.0,13.0,250111090.0,250058949.0
379,27,1,0,13.0,13.0,250058949.0,250029318.0
380,28,1,0,13.0,11741.525265127886,250042602.0,206024112.0
381,29,1,0,13.0,11741.525265127886,103333.0,206024112.0
382,29,1,0,57451.0,57451.0,250111090.0,250039177.0
383,33,1,0,57451.0,13.0,250024491.0,250064006.0
384,33,1,0,13.0,11741.525265127886,103704.0,206024112.0
385,34,1,0,13.0,11741.525265127886,250029318.0,206024112.0
386,37,1,0,13.0,57451.0,250042602.0,250058227.0
387,38,1,0,57451.0,11741.525265127886,250058227.0,206024112.0
388,38,1,0,57451.0,11741.525265127886,97787.0,206024112.0
389,38,1,0,13.0,11741.525265127886,250011668.0,206024112.0
390,41,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
391,41,1,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
392,43,1,0,57451.0,57451.0,94880.0,250042589.0
393,45,1,0,13.0,11741.525265127886,250064006.0,206024112.0
394,45,1,0,57451.0,11741.525265127886,250021669.0,206024112.0
395,45,1,2,13.0,11741.525265127886,250040959.0,206024112.0
396,45,1,5,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
397,46,2,0,57451.0,57451.0,250058228.0,250116727.0
398,45,2,0,11963.191305847853,11741.525265127886,193185680.96270075,206024112.0
399,46,2,0,57451.0,11741.525265127886,250024491.0,206024112.0
400,47,2,0,57451.0,13.0,250058227.0,250019924.0
401,47,2,0,13.0,11741.525265127886,250042602.0,206024112.0
402,50,2,0,57451.0,13.0,97787.0,103333.0
403,50,2,0,13.0,11741.525265127886,250011668.0,206024112.0
404,50,2,0,13.0,57451.0,250064006.0,250052963.0
405,50,2,0,57451.0,11741.525265127886,250116727.0,206024112.0
406,53,2,0,13.0,57451.0,250042602.0,250058227.0
407,54,2,0,57451.0,11741.525265127886,250105976.0,206024112.0
408,54,2,0,57451.0,13.0,250039177.0,250042602.0
409,54,2,0,13.0,11741.525265127886,250011668.0,206024112.0
410,55,2,0,57451.0,11741.525265127886,250058227.0,206024112.0
411,55,2,0,13.0,11741.525265127886,103333.0,206024112.0
412,55,2,0,13.0,11741.525265127886,250010802.0,206024112.0
413,55,2,0,57451.0,11741.525265127886,250070391.0,206024112.0
414,56,2,0,57451.0,11741.525265127886,250042589.0,206024112.0
415,57,2,0,13.0,11741.525265127886,103333.0,206024112.0
416,59,2,0,57451.0,11741.525265127886,250058227.0,206024112.0
417,62,2,0,13.0,11741.525265127886,250019924.0,206024112.0
418,63,2,0,57451.0,57451.0,250024491.0,250135265.0
419,63,2,0,57451.0,57451.0,250039177.0,250083244.0
420,64,2,0,13.0,11741.525265127886,250029318.0,206024112.0
421,64,2,0,13.0,57451.0,103333.0,97787.0
422,64,2,0,57451.0,11741.525265127886,250105976.0,206024112.0
423,65,2,0,57451.0,13.0,97787.0,103704.0
424,66,2,0,13.0,11741.525265127886,250012551.0,206024112.0
425,67,2,0,57451.0,11741.525265127886,97787.0,206024112.0
426,67,2,0,13.0,11741.525265127886,250064006.0,206024112.0
427,68,2,0,13.0,11741.525265127886,250019924.0,206024112.0
428,68,2,0,57451.0,11741.525265127886,250135265.0,206024112.0
429,70,2,0,57451.0,11741.525265127886,97787.0,206024112.0
430,70,2,0,13.0,11741.525265127886,250005255.0,206024112.0
431,72,2,0,13.0,13.0,250019924.0,1902160.0
432,74,2,0,57451.0,13.0,250021669.0,250064006.0
433,75,2,0,13.0,11741.525265127886,103333.0,206024112.0
434,77,2,0,13.0,13.0,103704.0,71982.0
435,77,2,0,13.0,13.0,250040959.0,250023003.0
436,78,2,0,57451.0,13.0,250021669.0,1902160.0
437,78,2,0,13.0,11741.525265127886,250064006.0,206024112.0
438,80,2,0,13.0,57451.0,250064006.0,250083244.0
439,80,2,0,57451.0,11741.525265127886,250116727.0,206024112.0
440,82,2,0,13.0,11741.525265127886,1902160.0,206024112.0
441,83,2,0,13.0,57451.0,250042602.0,250135265.0
442,84,2,0,57451.0,11741.525265127886,250083244.0,206024112.0
443,84,2,0,57451.0,11741.525265127886,250083244.0,206024112.0
444,85,2,0,57451.0,11741.525265127886,97787.0,206024112.0
445,85,2,0,13.0,11741.525265127886,103333.0,206024112.0
