match_id,team,formation,opposing_team_formation,shot,pass,under_pressure,score,counterpress,formation_play_duration,formation_play_duration_ratio,shot_mean,pass_mean,under_pressure_mean,counterpress_mean,home_or_away,goals
3817860,Odisha,4231,4231,6,442,414,2,63,0 days 01:30:00.049000,1.0968894911879503,6.581336947127702,484.82515510507403,454.11224935181144,69.10403794484087,1,5
3817861,Bengaluru,433,442,18,336,289,1,44,0 days 01:37:34.379000,1.0,18.0,336.0,289.0,44.0,0,1
3817861,Kerala Blasters,442,433,14,361,248,0,46,0 days 01:37:34.379000,1.0,14.0,361.0,248.0,46.0,1,1
3817862,Mumbai City,4231,4231,14,539,373,4,61,0 days 01:37:19.587000,1.0,14.0,539.0,373.0,61.0,1,5
3817862,Odisha,4231,4231,15,385,309,1,44,0 days 01:37:19.587000,1.0,15.0,385.0,309.0,44.0,0,5
3817863,Goa,4231,4231,14,495,429,2,50,0 days 01:38:30.925000,1.0,14.0,495.0,429.0,50.0,0,5
3817863,Hyderabad,4231,4231,12,321,283,3,69,0 days 01:38:30.925000,1.0,12.0,321.0,283.0,69.0,1,5
3817864,ATK Mohun Bagan,4231,4231,19,459,341,1,90,0 days 01:36:39.336000,1.0,19.0,459.0,341.0,90.0,0,1
3817864,Mumbai City,4231,4231,17,402,371,0,68,0 days 01:36:39.336000,1.0,17.0,402.0,371.0,68.0,1,1
3817865,NorthEast United,433,4231,14,445,294,0,49,0 days 01:36:42.853000,1.0,14.0,445.0,294.0,49.0,1,2
3817865,Odisha,4231,433,16,392,268,2,41,0 days 01:36:42.853000,1.0,16.0,392.0,268.0,41.0,0,2
3817866,Kerala Blasters,442,352,0,7,12,0,3,0 days 01:39:04.735000,1.0,0.0,7.0,12.0,3.0,1,4
3817866,Kerala Blasters,442,4231,16,287,252,3,58,0 days 01:39:04.735000,1.0,16.0,287.0,252.0,58.0,1,4
3817866,Mumbai City,352,442,0,13,14,0,0,0 days 00:43:59.533000,2.252191959714086,0.0,29.278495476283116,31.5306874359972,0.0,0,4
3817866,Mumbai City,4231,442,14,411,297,1,39,0 days 00:55:05.202000,1.7985996014767023,25.18039442067383,739.2244362069247,534.1840816385806,70.14538445759139,0,4
3817867,Mumbai City,442,442,18,385,275,1,52,0 days 01:37:14.382000,1.0,18.0,385.0,275.0,52.0,1,2
3817867,NorthEast United,442,442,11,412,321,1,34,0 days 01:37:14.382000,1.0,11.0,412.0,321.0,34.0,0,2
3817868,Bengaluru,433,352,14,454,385,3,50,0 days 01:37:07.069000,1.0,14.0,454.0,385.0,50.0,1,3
3817868,Chennaiyin,352,433,15,520,296,0,85,0 days 01:37:07.069000,1.0,15.0,520.0,296.0,85.0,0,3
3817869,Bengaluru,433,4231,8,475,368,1,65,0 days 01:38:27.906000,1.0,8.0,475.0,368.0,65.0,1,3
3817869,Hyderabad,4231,433,11,333,400,2,56,0 days 01:38:27.906000,1.0,11.0,333.0,400.0,56.0,0,3
3817870,Goa,352,442,15,547,330,4,75,0 days 01:39:11.012000,1.0,15.0,547.0,330.0,75.0,1,8
3817870,Kerala Blasters,442,352,13,327,278,4,53,0 days 01:39:11.012000,1.0,13.0,327.0,278.0,53.0,0,8
3817871,Hyderabad,4231,4231,20,385,282,5,45,0 days 01:38:03.851000,1.0,20.0,385.0,282.0,45.0,0,5
3817871,NorthEast United,4231,4231,9,409,277,0,50,0 days 01:38:03.851000,1.0,9.0,409.0,277.0,50.0,1,5
