matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank,Location
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,17,Tackles won,4.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,18,Clearances,15.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,19,Recovered balls,37.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,20,Fouls committed,16.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,21,Yellow cards,2.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,22,Red cards,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,23,Passes completed,254.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,24,Passes accuracy,72.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,27,Distance covered (m),106114.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,28,Distance covered in possession (m),30300.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,29,Top Speed (Km/h),30.8,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,32,Own-goals,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,33,Goals scored,1.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,34,Goals conceded,3.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,35,Own-goals for,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,36,Goals scored by right foot,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,37,Goals scored by left foot,1.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,38,Goals scored by head,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,39,Goals scored by backheel,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,40,Goals scored by other part of body,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,41,Goals scored in open play,1.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,42,Goals scored on direct free-kcik,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,43,Goals scored on indirect free-kcik,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,44,Goals scored on penalty,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,45,Goals on corner,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,46,Goals scored in penalty area,1.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,47,Goals scored outside penalty area,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,48,Goals on penalty phase,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,49,Goals in open play from centre,1.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,50,Goals in open play from left,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,51,Goals in open play from right,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,52,Attempts blocked,2.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,53,Attempts on bar,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,54,Attempts on post,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,55,Woodwork (after deflection),0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,56,Attempts on direct free kick,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,57,Attempts on indirect free kick,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,58,Attempts from corner,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,59,Attempts on target in penalty area,2.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,60,Attempts on target outside penalty area,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,61,Attempts off target in penalty area,1.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,62,Attempts off target outside penalty area,2.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,63,Attempts in open play from centre,4.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,64,Attempts in open play from left,1.0,1,Away
